ko_1,ko_2,ctrl_1,ctrl_2
17.03,19.63,20.93,27.3
0.64,0.58,1.04,1.34
0,0.02,0,0
0.06,0.03,0.02,0.01
0,0.08,0,0
0.07,0.1,0.1,0.14
582.72,630.33,1026.7,1491.16
0,0.02,0,0
0,0.04,0,0
1.17,0.58,0.86,2.22
0.98,0.82,0.64,1.47
0,0.02,0.02,0.03
35.86,38.75,33.75,31.29
0.51,0.42,0.18,0.8
6.19,6.29,14.09,22.32
5.9,6.14,6.5,7.97
11.21,10.15,12.13,12.83
91.11,93.91,107.48,141.53
22.01,20.39,21.9,21.51
0.17,0,0.16,0.05
1.85,1.51,1.09,1.48
0.16,0.24,0.2,0.2
2.75,1.95,18.01,14.98
0.08,0.09,0,0
4.1,5.08,13.54,8.67
0.01,0,0.01,0
1.17,0.37,1.37,1.02
0,0.17,3.03,1.64
11.46,9.81,5.69,5.28
83.82,77.65,70.34,48.71
4.57,5.39,6.75,5.38
92.28,85.53,37.01,103.43
0.11,0,0,0
6.08,5.99,7.5,7.55
0,0.02,0.09,0.04
323.3,312.13,405.53,362.9
7.8,9.52,9.7,5.72
0,0,0,0.07
58.5,65.71,105.11,63.51
21.82,22.06,45.28,24.12
0.69,1.72,0,0
0.39,0.32,1,1.18
4.51,4.76,7.9,7.38
0.18,0.05,0,0.08
1.13,0.92,2.65,2.32
26.64,39.75,31.78,22.85
0,0.02,0,0
2.45,3.21,7.11,8.35
35.25,48.2,42.56,76.03
23.04,28.97,23.42,33.1
0.69,0.87,0.43,2.75
5.06,7.02,4.18,7
0.02,0.03,0,0
6.53,3.04,0,0
0,0,0,0.08
0.05,0,0.14,0
0.11,0.13,0.11,0.02
1.33,1.29,0.81,0.8
1.1,1.36,1.72,2.3
0.16,0,0.73,0.57
0.04,0.03,0.02,0.63
37.84,38.18,19.28,22.04
0.03,0.05,0.07,0.11
0.02,0,0,0.03
17.44,16.9,17.8,20.77
0,0,0.05,0
0.68,0.65,0.56,0.38
35.95,28.85,3.77,2.73
7.96,8.82,2.21,8.02
0,0,0.09,0
0,0.08,0,0
0.65,0.68,0.67,0.75
0,0.02,0.02,0.75
0.02,0.11,0,0
0,0.58,0,0
0,0,0.36,0
0.04,0.04,0,0
0.22,0,0.38,0.44
0.47,1.68,0.31,0.84
0.87,0.49,3.8,0
287.05,288.77,98.87,138.1
0.08,0.2,0,0
36.54,40.34,19.49,16.83
0.2,0.28,0.54,0.22
31.66,40.78,56.21,32.64
15.29,15.51,7.12,9.58
24.86,22.9,26.17,15.43
0.05,0,0.03,0
1.76,2.08,3.03,4.68
0.21,0.18,0.45,0.18
29.33,27.9,12.84,19.83
1.44,1.65,1.01,1.07
1.79,1.18,1.93,3.6
0.15,0.06,0.12,0.05
16.17,10.48,11.41,22.81
0.03,0,0,0
7.45,5.56,6.44,3.85
27.07,25.5,30.62,24.37
0.04,0.02,0.05,0
0.01,0.01,0.03,0
0.01,0.04,0,0
11.51,11.09,5.71,13.04
4.73,6.25,7.91,10.3
0,0,0.04,0
129.94,143.34,216.87,162.94
7.09,7.99,9.75,8.19
0.54,0.6,0,1.12
2.04,2.01,2.43,2.82
0.3,0.39,0.31,0.72
1.14,0.78,0.3,0.43
0.2,0.09,0.48,0.81
0.2,0.21,0,0.05
29.35,25.24,17.65,26.99
0.61,0.21,0.66,1.37
0.47,0.25,0.41,0.57
0,0.21,1.69,0
0.42,0.66,0,0.7
8.29,8.98,11.64,16.33
5.35,6.14,2.34,4.25
0.15,0.19,0,0.31
14.59,14.18,12.61,21.7
0.58,0.44,1.02,1.15
15.06,13.24,4.11,8.14
0.04,0,0,0.13
0,0.24,0,0
0.69,0,0.75,1.3
0.21,0.94,0.17,0.49
2.14,2.39,3.57,4.42
0,0.18,0,0
3.48,5.59,6.25,8.03
0.99,0.86,7.97,10.4
0.01,0.03,0.04,0
4.96,4.31,4.09,7.45
0,0,0.12,0.17
0.81,0.64,1.21,1.29
0,0.08,0,0
4,3.77,5.98,7.47
2.31,4.21,3.62,6.13
0.13,0,0.46,0.14
1.8,2.21,3.36,4.39
0.04,0.06,0,0
21.07,22.55,23.18,15.84
0.42,0.59,0,0.45
12.72,14.4,22.91,18.18
14.67,16.48,12.96,33.22
10.89,13.31,28.02,32.72
0.09,0.24,0.41,0.59
19.86,18.28,18.23,20.53
0.25,0.12,0.07,0.17
45.25,50.02,47.03,24.83
0,0.14,0,0
13.85,13.29,8.35,25.35
3.42,2.83,2.04,3.49
12.95,15.36,23.86,17.64
0.01,0.01,0.01,0.01
4.97,5,7.97,12.94
4,5.33,7.61,12.08
0.04,0.12,0.03,0.04
0.52,0.48,0.38,0.15
0,0.05,0,0
0.13,0,0,0.02
11.86,15.32,9.74,18.07
104.28,92.19,31.59,41.19
11.43,12.16,19.18,17.46
0.36,0.23,0.08,0
0,0.02,0,0
0,0.02,0,0
1.06,2.4,0.75,0.43
0.01,0,0.03,0.04
0.59,0.09,1.61,0.94
2.17,1.5,0.78,3.66
7.76,8.81,12.31,14.2
0.32,0.33,0.43,1.02
25.53,24.65,29.94,21.47
57.03,51.72,55.87,22.15
1.26,1.47,4.92,5.62
4.81,6.41,14.95,13.96
19.93,22.06,20.16,25.55
0.07,0,0,0
0,0,0,0.07
0.07,0,0,0.14
3.78,2.82,2.29,4.4
47.82,43.29,21.28,23.84
0.03,0,0,0
0,0.05,0,0
65.62,80.63,95.21,62.98
4.12,4.43,1.65,8.02
40.19,47.46,89.61,49.08
7.68,7.47,5.21,9.5
0.39,0.3,0,0.49
0,0.07,0,0
0.74,0.56,0.43,1.99
0,0,0.42,0
0.45,0.19,0,0
79.75,97.83,271.8,217.58
0.41,0.75,1,0
0,0,0.1,0
19.26,19.19,35.55,54.24
7.86,8.56,8.49,10.79
33.06,40.25,52.05,54.17
0,0.05,0,0
0.04,0.1,0.03,0.06
9.25,15.26,12.67,10.36
0,0,0.29,0
0.93,1,0.81,2.49
16.61,16.72,13.04,12.02
85.2,69.89,55.71,71.7
0.46,0.24,0.3,0.75
0.16,0.08,0.03,0
0.19,0.26,0.21,0.14
53.02,66.45,148.15,201.59
2.92,3.79,4.11,6.69
1.98,1.77,1.5,2.08
9.11,8.69,19.99,18.4
25.79,25.65,16.57,25.83
0.05,0,0,0
21,22,20.39,36.12
13.75,13.45,3.43,9.99
6.87,8.04,27.43,24.47
9.27,9.63,8.17,8.99
0.14,0.21,0,0
2.26,2.19,1,2.74
1.02,0.62,0.28,1.05
0,0,0,0.49
0.46,0.12,0,0.42
0.08,0.05,0.12,0
9.68,10.61,10.12,10.57
0.76,0.5,0.23,0
97.43,108.6,132.16,97.68
13.38,17.55,17.61,22.76
91.48,130.92,60.62,104.47
3.68,3.3,2.08,2.07
9.27,8.37,5.77,5.38
3.61,2.89,4.21,7.43
20.76,21.21,18.34,25.31
2.4,2.64,1.72,1.29
3.42,3.94,3.92,3.29
0.02,0.08,0,0.04
49.05,50.38,60.53,67.06
0.04,0.06,0.14,0.07
13.29,14.6,38.66,34.02
13.31,14.07,20.33,32.07
0,0,0.86,0.2
0.21,0.18,0.12,0.29
0,0.09,0,0
0,0.16,0.11,0
0,0.1,0,0
1.78,2.2,4.86,3.38
0.66,1.51,0.48,0.24
0,0.48,0,0
11.28,11,5.74,8.03
5.27,4.98,4.61,7.51
0.07,0.06,0.04,0.1
0.02,0.04,0,0
13.36,13.81,20.65,18.75
2.81,2.11,3.28,3.76
0.09,0,0,0.2
0.13,0.09,0.5,1.3
12.94,14.78,22.84,26.16
9.88,11.54,9.53,14.73
7.54,6.8,5.25,6.6
17.46,21.49,21.26,25.67
0.34,0.48,0.14,0.27
4.94,4.64,4.2,10.88
4.22,3.38,1.57,0.91
0,0,0,0.37
9.69,10.1,17.51,23.48
19.69,19.72,27.08,28.38
0,0.01,0.01,0
1.14,0.78,1.96,1.52
0,0.06,0,0
0.14,0.46,1.13,0.44
0.02,0.02,0.02,0.02
27.52,24.42,18.96,13.96
7.63,10.18,9.7,10.36
36.67,41.86,56.62,60.15
0.37,0.52,0.66,0.71
17.15,15.62,32.78,18.55
1.06,1.6,2.4,1.48
0.12,0.11,0.84,0.96
38.61,24.84,52.34,65.86
0.01,0.11,0.01,0.04
1.14,1.1,0.64,0.76
0.01,0.02,0.01,0.05
0.53,0.31,0.88,2.12
2.5,2.19,1.5,2.02
8.3,8.33,12.95,14.15
24.5,32.85,48.18,60.02
1.9,2.07,2.18,0.92
0.43,1.1,1.04,1.05
11.87,13.68,16.98,18.62
0.24,0.23,0.74,0.37
2.39,1.68,1.19,1.78
0.08,0.11,0,0
0.41,0.33,0.34,0.64
6.26,5.27,8.67,8.02
18.16,19.11,23.47,17.43
2.24,2.7,1.92,2.28
0.2,0.21,0.29,0.37
0.17,0.61,0.1,0.26
5.51,5.12,3.45,5.09
6.4,6.05,12.39,12.05
18.52,16.96,13.93,32.03
4.52,3.81,10.65,16.85
51.98,39.89,22.87,26.02
7.1,7.39,3.82,9.4
0,0.2,0,0
13.52,23.07,20.85,0
0.03,0,0,0
13.46,14.03,25.24,24.85
27.92,32.96,53.04,92.64
1.98,2.12,0.85,2.26
23.52,33.18,24.98,15.28
1.79,1.84,1.7,3.21
3.35,3.71,2.99,3.64
4.39,4.12,5.82,12.91
7.55,5.1,10.34,16.02
29.03,28.39,53.01,63.51
3.79,3.15,2.48,2.86
5.26,3.71,0.89,6.01
34.33,42.86,40.95,31.85
0,0,0.26,0.3
44.72,56.47,59.36,50.94
5.67,5.02,3.3,4.64
0,0,0,0.24
0.63,0.83,1.1,1.54
99.96,85.01,20.92,56.68
38.68,40.81,53.2,60.39
29.64,35.65,49.58,66.78
1.3,1.83,1.94,1.37
0.92,0.89,0.43,0.57
0.01,0,0,0
0.76,0.94,0.23,0.9
0.3,0.28,0.06,0.03
10.33,9.78,12.65,15.04
63.16,68.28,73.5,86.45
25.35,22.72,21.31,14.66
13.08,5.45,1.04,1.04
28.88,27.53,33.22,42.51
0.03,0.02,0,0.09
14.59,14.95,33.44,25.98
0.6,0.26,0.71,0.41
0.08,0,0,0
0.11,0,0,0
0.07,0,0,0
0.01,0.04,0,0
10.27,9.6,10.47,6.9
55.96,51.42,39.2,45.19
0.11,0.13,0,0.09
0.02,0,0,0
19.08,22.48,7.53,17.22
0.03,0,0,0
16.36,13.52,15.74,18.35
0.16,0.13,0.1,0.52
7.86,7.92,3.98,6.78
0.03,0,0,0
0.3,0.23,0.21,0
33.65,37.21,109.67,72.29
0,0,0.02,0.06
14.42,16.32,21.14,26.56
24.73,24.12,14.95,25.73
11.27,12.08,16.76,14.3
0.21,0.53,0.51,0.24
24.51,24.13,46.26,53.08
0,0.01,0,0
0.3,0.28,0.23,0.79
34.59,27.93,14.13,41.01
0,0,0.02,0.01
6.84,7.06,5.91,6.1
5.18,5.44,2.79,3.32
0,0,0,0.02
5.28,5.66,3.52,4.5
7.14,6.9,7.52,10.05
2.42,2.33,1.39,3.09
2.88,2.74,0.91,1.81
0.4,0,0.33,0.38
0,0.02,0,0
8.81,8.97,21.88,35.56
0.07,0.06,0.19,0.03
2.74,2.52,1.31,2.56
12.5,12,5,5.24
39.02,42.61,35.33,41.39
0.04,0.06,0.01,0.05
0.28,0,0.13,0.08
0.05,0.07,0,0
3.15,2.37,1.68,5.76
0.18,0.14,0.18,0.32
0.22,0,0,0
121.58,136.48,192.37,173.79
0,0.2,0,0
0.01,0,0,0
5.84,5.83,7.11,9.5
0.13,0,0,0
148.52,124.04,59.29,91.16
0,0,0,0.26
0.06,0.1,0.11,0.03
1.01,0.51,1.13,0.63
2.74,3,2.27,1.61
0.12,0.13,0.34,0.76
0,0.05,0.11,0
11.98,11.98,19.99,17.39
0.01,0,0,0
1.09,0.97,0.72,1.31
3.54,2.8,2.82,2.98
1.52,1.21,0.46,1.05
0.42,0.38,0.71,0.47
1.36,1.81,0.15,0.77
0,0.16,0,0.16
0.24,0,0,0.1
0.12,0,0.11,0.19
0.14,0.11,0,0.05
2.62,1.96,1.8,2.41
0.48,0.71,0.82,1.04
8.89,9.16,12.74,16
9.12,6.65,5.15,5.6
0.05,0.13,0.26,0
0.16,0.43,0.72,0.55
5.41,4.61,0.86,1.56
55.15,53.28,37.46,52.36
0.94,0.73,0.48,0.76
14.93,15.49,12.19,18.4
13.23,16.3,36.2,20.47
114.56,124.6,109.43,112.01
4.72,4.13,8.61,13.7
52.2,50.74,30.32,52.31
2.56,2.29,0.52,0.31
0,0.06,0,0
5.81,4.19,2.54,2.63
0.84,0.45,0.61,0.86
0.15,0,0,0
348.73,330.7,315.91,276.08
1.64,1.32,2.39,2.59
33.41,32.27,41.92,23.77
3.41,3.26,7.16,7.02
0.16,0.3,0.14,0.32
11,10.16,11.14,12.63
0.86,0.69,1.84,2.13
0,0,0.04,0.05
4,3.43,2.24,4.33
0.08,0.31,0,0
0.03,0,0,0
0.18,0,0,0
4.66,5.32,5.03,7.02
5.19,5.36,7.21,14.83
0,0.08,0,0
0.58,0.65,0.84,4.45
0.06,0.02,0,0.02
0.24,0.29,0.1,0.72
0.62,0.66,0.67,0.89
50.34,64.46,67.89,91.47
0.56,0.51,0.65,0.6
0,0.03,0,0
71.87,57.69,13.75,21.48
0,0,0,0.22
0.13,0.26,0.12,0
9.47,8.67,8.97,13.44
14.05,12.85,5.24,8.7
0.01,0.05,0,0
5.91,4.44,4.23,6.02
0.1,0.25,0.16,0.66
24.78,26.86,6.51,7.63
0,0,1.55,0
5.65,4.84,7.92,7.97
10.84,10.99,7.76,18.31
15.55,17.61,6.47,16.35
0.16,0,0,0
2.44,1.94,1.55,4.85
3.13,3.12,4.22,3.5
0.26,0.5,0,0.48
21.45,22.02,20.27,41.54
0,0.05,0,0
0.03,0.06,0.06,0.08
9.64,10.41,17.58,13.37
0.04,0,0,0
0.19,0.12,0.11,0.13
0.34,0,0,0.18
0.02,0,0.03,0
18.35,22.09,31.9,31.18
21.48,26.72,93.78,80.34
16.98,16.78,15.28,31.7
7.57,8.07,7.49,6.94
0.27,0.42,0,0
0,0,0.18,0.02
0,0,0,0.14
1.04,0.63,0.21,0.62
4.43,5.32,4.45,3.69
82.13,77.51,39.49,62
5.75,5.14,12.88,10.45
0,0.13,0,0
1.15,0.93,1.24,1.52
2.16,2.86,25.17,20.87
47.1,44.6,51.86,58
0.73,0.82,0.16,0
85.11,106.01,111.33,84.62
0.37,0.41,0.23,0.22
4.6,5.18,14.52,11.32
0,0,0,0.04
7.31,10.51,18.48,19.28
10.85,10.42,7.22,15.91
0,0,0,0.03
0.05,0.07,0,0
0.7,0.93,1.46,4.45
0.07,0.18,0,0.05
17.24,14.95,8.06,6.74
0.03,0.09,0,0
4.7,4.2,2.57,2.05
0.45,0.36,0.11,0.07
0,0,0,0.03
44.82,42.38,15.78,19.23
0.06,0.13,0,0.02
44.45,46.71,47.58,46.57
0.23,0.62,0.43,0.45
22.52,26.2,12.68,24.22
0.84,1.24,0.52,0.71
0,0.18,0,0
13.18,11.99,7.74,17.45
0.03,0.02,0.07,0.02
0.04,0.1,0,0.08
0,0.17,0,0
0.03,0,0,0
104.63,90.64,51.42,82.26
2.7,2.5,1.85,1.63
3.33,2.46,0.55,2.6
0,0.11,0,0
0.05,0.38,0,0
0.09,0.08,0.13,0.28
30.56,35.62,91.61,104.31
5.73,5.03,6.17,9.49
2,1.3,0.37,2.46
48.15,38.84,34.74,67.66
0.01,0.02,0,0
16.96,18.7,14.95,10.4
384.77,323.73,279.28,221.77
82.6,60.05,26.36,26.29
1.74,1.56,5.17,3.41
3.95,3.28,1.23,7.01
0.73,1.05,0.16,0.56
26.74,30.42,45.27,38.61
0.07,0.18,0,0.28
24.77,23.02,36.63,83.82
2.57,3.04,1.81,2.62
9.1,8.6,19.76,24.8
0.04,0,0,0
0.75,0.45,0.47,0.98
0.09,0,0,0.19
0,0,0.13,0
0.67,0.61,2.82,2.4
0.04,0,0,0
0.29,0.17,0.06,0.03
2.51,2.6,1.9,3.81
13.19,20.27,20.13,17.66
0.19,0.06,0.3,0.27
0.13,0.04,0,0.34
4.31,2.93,6.52,8.24
0.01,0.01,0.07,0.01
7.12,5.43,9.07,11.62
8.89,7.77,4.87,5.22
3.52,3.83,8.27,6.46
0,0.02,0.04,0
5.22,5.33,9.64,17.83
0,0,0,0.06
0.23,0.15,0.11,0.33
0,0.06,0.17,0.29
4.12,3.91,6.64,7.2
0.1,0,0,0.11
937.68,1027.59,703.85,658.2
0.04,0.12,0,0
0.06,0.08,0,0
21.51,25.45,59.19,51.92
17.46,16.84,20.11,15.3
14.19,19.09,15.07,22.9
0.04,0.04,0.47,0.8
0.03,0.01,0.01,0
0.13,0.08,0.26,0.34
10.85,8.96,7.81,8.07
0,0.02,0,0.04
0.2,0,0.01,0.08
5.71,6.41,10.61,5.98
0.04,0.09,0.02,0
16.45,19.78,94.74,119.55
0.02,0.18,0,0.21
50.41,63.01,139.26,144.27
0.1,0.05,0,0.12
0.33,0.26,0,0
0,0.11,0,0
0.21,0.39,0.04,0.21
3.55,3.53,1.57,9.2
0.14,0,0,0
0.19,0,0,0
0.51,0.71,0.29,0.45
0.2,0,0.36,0.12
5.89,6.23,15.95,16.33
0.08,0.06,0.29,0.18
9.25,8.98,13.02,22.59
17.12,19.82,30.62,29.19
14.36,13.76,21.34,44.12
11.61,12.52,7.93,9.28
0.01,0,0,0
0,0,0.01,0.02
23.43,26.57,70.61,50.04
0,0.1,0,0.15
2.84,2.35,4.17,2.79
2.51,3.32,17.73,16.82
5.71,7.03,10.97,12.51
5.15,6.62,10.39,5.6
0.06,0.31,0.1,0
0,0.37,0,0
2.1,2.14,2.03,1.89
4.45,4.29,3.74,6.87
1.47,1.24,0.96,0.58
0.03,0,0,0
9.57,8.24,7.01,10.69
0.03,0,0,0
0.22,0.25,0.47,0.47
0,0.04,0,0
25.76,24.69,11.72,12.73
4.66,3.18,6.11,6.27
95.81,71.1,24.03,45.8
0,0.11,0,0
1.42,1.39,1.09,0.91
7.73,6.23,7.44,4.88
2.5,1.96,12.18,14.44
0.08,0.04,0.1,0.23
0.05,0,0,0.05
0.05,0,0,0.2
0.04,0,0,0
0.24,0,0.33,0
110.31,79.09,33.46,92.91
0,0,0.23,0
9.98,10.6,11.41,12.34
0.31,0,0,0.8
2.19,1.86,3.78,3.44
0,0,0.03,0.04
0,0,0,0.15
100.16,91.49,116.92,188.78
0.06,0,0,0.2
0.09,0.12,0,0
28.38,32.76,49.55,40.55
0,0,0.02,0
0,0.03,0,0
0,0,0.04,0.05
2.41,4.3,11.97,21.26
44.37,53.55,42.54,46.34
13.89,16.67,15.82,21.87
16.94,17.36,25.95,31.73
6.52,5.74,9.61,8.11
9.94,9.87,7.05,8.38
0,0,0.01,0.29
2.05,2.6,6.28,12.63
8.94,7.81,10.72,16.95
21.7,11.94,3.74,13.39
0.01,0,0.03,0
9.35,8.91,6.93,10.74
0.01,0.03,0,0
0.22,0.44,0.17,0
0.15,0.16,0.03,0.06
0.6,0.33,0,0.71
0.42,0.18,0.45,0.25
35.21,32.24,20.19,15.47
4.6,4.86,5.82,4.57
45.77,51.12,45.61,48.78
24.72,27.26,23.94,28.69
208.8,202.38,373.07,338.27
0,0,0,0.04
0.02,0.02,0,0.01
30.8,25.35,12.94,10.05
2.32,2.37,3.55,4.01
2.17,2.12,5,3.35
2.08,1.42,1.18,2.79
3.62,2.67,1.25,3.16
0.44,0.43,0.25,0.36
29.98,24.7,8.5,13.54
181.47,279.82,502.89,483.92
0,0.01,0,0
0.07,0,0,0
3.18,2.8,2.49,4.27
175.49,194.56,213.12,152.44
0.23,0.2,0.98,0.28
3.17,0,1.85,1.43
0.17,0,0,0.16
5.87,6.23,7.65,22.63
0,0.03,0.06,0.02
0.38,0.23,0,0.47
0,0.75,0,2.97
0.03,0,0,0.16
0.91,1.08,1.4,2.76
0.1,0.13,0,0.1
0.2,0.08,0.18,0
0.31,0.24,0.07,0
133.58,176.7,177.44,174.08
46.17,48.78,102.19,80.53
0.02,0.03,0,0.04
0.23,1.12,0.71,2.5
0,0.13,0.35,0
0.68,0.66,0.23,0.38
0.03,0,0,0
0.42,0.36,0.08,0.03
0,0,0,0.91
0.16,0.01,0.11,0.08
9.49,11.19,25.2,18.49
0,0,0,0.18
0.41,0.25,0.2,0.32
4.03,4.07,0.51,0.72
0.15,0.57,0.13,0.75
7.23,7.17,4.23,3.54
9.54,7.79,11.53,10.59
0.02,0.06,0,0
0,0.06,0,0
19.36,16.56,4.41,2.62
0.03,0.05,0,0
0.01,0.02,0,0.03
33.47,42,29.82,82.56
0.03,0,0,0.11
0,0,0,0.5
0.04,0,0,0.03
0.01,0,0,0
0.04,0.02,0,0
0,0.05,0.07,0.09
34.4,31.75,41.83,53.24
0.33,0.74,0.67,2.68
10.92,10.6,10.3,8.25
0.24,0.42,1.64,1.97
0.03,0.08,0.19,0.3
0.4,0.66,0.67,1.21
2.56,1.9,0.18,0.75
0.01,0,0,0
5.08,4.62,2.33,3.01
2.61,2.62,1.92,2.25
0,0,0,0.04
0.52,0.44,1.48,1.37
3.59,4.16,9.36,7.97
0.43,0.37,0.15,0.51
0.16,0.03,0.22,0.35
16.83,11.95,14.23,12.2
6.66,6.13,4.51,4.65
6.6,6.34,8,5.19
0.05,0,0,0
0.13,0.17,0.24,0
0,0.48,0,0
0.04,0.05,0,0
77.51,79.79,126.06,201.84
0.13,0.17,0.11,0
14.94,14.39,4.81,9.35
0.23,0.16,1.83,1.56
0.14,0.12,0.24,0.1
6.66,7.55,8.43,9.64
0.22,0.12,0.44,0.6
6.25,0.75,4.98,0.58
0.07,0,0,0
0.21,0.21,0.38,0.22
0.05,0,0.06,0
0.05,0,0,0
315.64,276.08,128.69,226.26
3.63,3.65,2.23,1.58
25.78,23.98,22.86,14.3
0.13,0.03,0.04,0.08
0.49,0.25,0.02,0.02
4.27,4.37,3.34,2.99
0,0.04,0,0
0.05,0,0,0.1
16.27,16.73,7.58,21.06
7.28,6.82,4.01,4.18
40.52,35.35,49.04,48.87
0.36,0.15,0.21,0.24
0,0.02,0.08,0.05
0.27,0.15,0,1.19
7.94,10.45,8.8,7.74
0,0.08,0,0.12
1,1.06,0.32,0.46
4.04,5.52,9.23,12.15
20.27,17.33,13.69,13.74
0,0.05,0,0
4.54,4.33,7.56,12.38
10.14,13.14,7.97,10.87
1.35,0.8,0.63,1.95
1.06,0.65,0.06,0.08
11.29,11.5,6.28,11.42
0.06,0,0,0
349.2,346.37,444.83,285.35
8.55,9.54,8.88,7.01
22.58,18.81,27.73,40.03
0.16,0.08,0.1,0.08
2.53,2.07,1.9,4.63
23.62,26.85,28.23,44.07
14.02,13.59,6.96,10.6
0,0,0.02,0.29
0,0,0,0.28
38.61,46.78,87.36,100.78
0.21,0,0,0
0.24,0.31,0.45,0.27
0.04,0.14,0,0
0.36,0.21,0.1,0.39
6.05,6.2,2.06,7.45
1.09,1.25,1.3,0.96
2.2,2.34,1.49,3.59
0,0.03,0.05,0
0,0,0.11,0
0.16,0,0,0
0.09,0.23,0,0
9.84,9.58,8.34,7.18
4.03,3.91,1.85,0.47
3.19,3.29,2.37,1.9
9.15,9.31,14.39,15.86
0.19,0.17,0.34,1.08
0.55,0.26,0,0.04
56.21,54.18,66.1,82.7
9.75,8.47,5.06,4.45
0.89,0.89,0.08,0.04
12.99,13.79,15.89,16.2
0.76,1,0.8,0.91
1.2,1.64,0.78,0.79
0.02,0.09,0.04,0.05
0.27,0.39,0.08,0.01
10.86,11.14,5.31,9.23
0,0,0.1,0
0.04,0,0,0
0.11,0.03,0.28,0.28
0.06,0.13,0.46,0.5
9.47,7.76,9.35,8.09
0.51,0.43,0.35,0.1
5.55,5.76,10.65,12.57
0.06,0.31,0.43,1
0.01,0.02,0.05,0.03
19.39,17.15,6.1,13.75
0,0.17,0,0
0.1,0,0.04,0
0.08,0,0.03,0.17
7.03,7.41,10.27,18.32
0.05,0.07,0.09,0.19
54.2,57.79,45.81,87.69
0.12,0.13,0.14,0.2
7.03,6.9,6.44,5.43
0,0.02,0,0
12.84,9.95,9.08,9.25
0.39,1.08,0.08,1.58
0.36,0.47,0.15,0.53
16.46,16.99,20.4,18.32
43.84,62.63,78.59,61.72
0.48,0.35,0.15,0.15
53.35,47.56,48.09,55.82
0.05,0.01,0.01,0.12
1.32,1.54,0.75,1.05
0.01,0,0,0
6.03,5.18,9.57,10.15
12.79,14.84,36.41,43.82
26.36,26.38,18.81,35.29
12.54,11.97,9.65,9.4
0.05,0,0,0
4.87,4.49,4.04,4.18
5.97,6.64,6.58,10.26
0,0.21,0.29,0.67
0,0,0.14,0
0,0,0.39,0.63
0.07,0.04,0,0.06
0.19,0.08,0,0
1.1,1.04,0.79,1.22
6.58,9.34,6.54,12.45
52.85,54.48,65.11,55.2
27.63,24.93,10.93,8.48
0.7,1.01,4.95,6.56
14.05,15.74,4.29,4.65
0.15,0.08,0.02,0.02
18.86,29.96,22.47,23.83
0.21,0.41,0,0
1.63,1.7,1.14,0.4
17.9,16.83,12.67,26.49
20.94,22.38,12.72,11.57
0.03,0.04,0.22,0.07
15.43,17.59,12.28,13.21
0.02,0,0,0
0,0,0,0.3
0.05,0,0,0
0.4,0.18,0,0
13.44,15.31,19.21,16.92
0.15,0.22,0.09,0.03
47.65,62.37,77.89,70.87
0.12,0.25,0.24,0.59
10.93,10.47,11.43,8.88
76.74,90.98,165.9,138.79
0.01,0,0,0
141.73,120.18,67.02,113.75
94.59,80.15,82.79,110.01
59.06,54.55,81.61,68.28
0,0,0,0.07
0.27,0.22,0.17,0.03
0.01,0,0,0
0.57,0.06,0,0.18
1.16,1.16,0.85,0.98
0,0.02,0,0.03
1.71,2.28,9.79,15.76
11.09,11.86,12.18,12.55
25.13,20.51,13.93,18.57
4.3,5.92,11.09,15.48
12.37,13.94,59.34,35.59
0.07,0,0.35,0
540.84,632.54,1464.35,2145.43
35.99,32.79,7.68,16.96
2.2,1.69,1.28,0.67
326.32,364.27,496.7,492.45
0.01,0.06,0,0
0.03,0.04,0,0.05
0.765,0.455,0.09,0.825
15.5,13.32,9.08,18.43
0,0.11,0.04,0.05
0,0.25,0,0
0.03,0.07,0,0
9.74,9.31,37.44,42.28
5.67,5.89,31.53,44.14
1.49,1.53,3.19,4.89
0,0,0,0.05
0.07,0.09,0,0
10.98,8.26,23.42,23.58
314.89,423.94,632.21,544.76
9.86,8.96,8.68,13.61
6.45,7.69,5.1,6.33
7.44,7.57,4.7,8.39
0.14,0.02,0.2,0.22
9.18,9.77,2.83,3.48
0.01,0,0.02,0
2.11,2.16,0.73,0
80.61,72.52,33.97,49.16
62.24,57.14,58.83,42.09
30.57,28.85,32.93,41.4
0.21,0.28,0,0
0.63,0.56,0.15,0.32
11.59,10.32,14.45,24.03
1.76,2.03,2.06,1.41
8.04,10.17,2.41,3.36
21.37,22.67,26.35,44.57
0,0,0,0.1
1.04,0.64,0.31,1.41
9.78,8.45,19.81,22.85
19.23,19.93,18.03,9.16
0.29,0.22,0.25,0.14
64.05,58.46,34.54,33.29
10.04,9.28,7.43,7.58
292.5,323.85,288.13,286.86
0.19,0.11,0,0.03
0,0,0.06,0.03
51.46,52.05,36.51,59.72
0.02,0.02,0.11,0.04
3.69,3.84,1.24,0.71
7.82,10.49,3.22,3
0.26,0.44,0.15,0.88
0,0,0,0.23
0.06,0,0.32,0
32.99,31.65,27.94,30.99
49.07,47.01,52.24,41.48
0,0,0,0.26
0.2,0.17,0.59,0.7
0,0,0,0.17
0,0.02,0,0
0.17,0.15,0.19,0.19
0,0.11,0,0
29.36,40.7,59.74,56.07
115.24,128.69,78.39,80.86
0.01,0,0.02,0
0.15,0.06,0,0.1
8.96,8.19,9.33,11.45
0,0.07,0,0
10.45,10.88,16.63,10.49
1.61,1.91,4.14,3.87
